,MODZCTA,label,geometry,ZCTA,residential_counts,residential_pctl_score,commercial_counts,commercial_pctl_score,total_pctl_score,total_counts
0,10001,"10001, 10118","POLYGON ((987646 210359.99999994, 987522 210135.99999994, 987296 210261.99999994, 987334 210529.99999994, 986752 210853.99999994, 986628 210627.99999994, 986502 210403.99999994, 986448 210305.99999995, 985652 210721.99999994, 984916 211137.99999994, 984850 211019.99999994, 984802 211045.99999993, 984928 211275.99999994, 984564 211475.99999994, 984140 211707.99999995, 984014 211481.99999995, 983228 211923.99999994, 983074 212007.99999994, 982442 212359.99999994, 982304 212117.99999994, 982044 212251.99999994, 982016 212267.99999994, 981988 212323.99999994, 981964 212383.99999994, 981948 212445.99999995, 981946 212453.99999995, 981944 212459.99999994, 981936 212507.99999995, 981930 212571.99999994, 981932 212633.99999994, 981946 212741.99999994, 981966 212847.99999994, 981992 212951.99999995, 982020 213057.99999994, 982054 213159.99999995, 982126 213405.99999995, 982198 213667.99999994, 982272 213917.99999995, 982292 213981.99999995, 982316 214041.99999994, 982348 214101.99999994, 982382 214157.99999995, 982664 214675.99999994, 982752 214835.99999994, 982886 215079.99999994, 983152 215557.99999994, 983294 215813.99999995, 983336 215889.99999993, 983430 216071.99999994, 983462 216049.99999993, 984232 215583.99999994, 984212 215547.99999995, 984088 215323.99999995, 983958 215095.99999994, 983834 214871.99999995, 984024 214765.99999994, 984244 214935.99999994, 984400 214849.99999994, 984744 214659.99999994, 984622 214435.99999994, 984886 214287.99999994, 984912 214273.99999994, 984924 214267.99999994, 984934 214261.99999994, 984948 214255.99999994, 985046 214205.99999995, 985070 214191.99999995, 985410 213999.99999994, 986196 213561.99999994, 986320 213787.99999994, 987106 213351.99999994, 986984 213125.99999994, 987636 212761.99999994, 987770 212685.99999994, 987810 212665.99999994, 988662 212195.99999994, 988528 211953.99999994, 988394 211709.99999995, 988268 211483.99999994, 988144 211259.99999995, 988020 211035.99999994, 987896 210809.99999994, 987770 210583.99999995, 987646 210359.99999994))",10001,150.0,46.85990338164251,196.0,100.0,73.42995169082126,346.0
1,10001,"10001, 10118","POLYGON ((987646 210359.99999994, 987522 210135.99999994, 987296 210261.99999994, 987334 210529.99999994, 986752 210853.99999994, 986628 210627.99999994, 986502 210403.99999994, 986448 210305.99999995, 985652 210721.99999994, 984916 211137.99999994, 984850 211019.99999994, 984802 211045.99999993, 984928 211275.99999994, 984564 211475.99999994, 984140 211707.99999995, 984014 211481.99999995, 983228 211923.99999994, 983074 212007.99999994, 982442 212359.99999994, 982304 212117.99999994, 982044 212251.99999994, 982016 212267.99999994, 981988 212323.99999994, 981964 212383.99999994, 981948 212445.99999995, 981946 212453.99999995, 981944 212459.99999994, 981936 212507.99999995, 981930 212571.99999994, 981932 212633.99999994, 981946 212741.99999994, 981966 212847.99999994, 981992 212951.99999995, 982020 213057.99999994, 982054 213159.99999995, 982126 213405.99999995, 982198 213667.99999994, 982272 213917.99999995, 982292 213981.99999995, 982316 214041.99999994, 982348 214101.99999994, 982382 214157.99999995, 982664 214675.99999994, 982752 214835.99999994, 982886 215079.99999994, 983152 215557.99999994, 983294 215813.99999995, 983336 215889.99999993, 983430 216071.99999994, 983462 216049.99999993, 984232 215583.99999994, 984212 215547.99999995, 984088 215323.99999995, 983958 215095.99999994, 983834 214871.99999995, 984024 214765.99999994, 984244 214935.99999994, 984400 214849.99999994, 984744 214659.99999994, 984622 214435.99999994, 984886 214287.99999994, 984912 214273.99999994, 984924 214267.99999994, 984934 214261.99999994, 984948 214255.99999994, 985046 214205.99999995, 985070 214191.99999995, 985410 213999.99999994, 986196 213561.99999994, 986320 213787.99999994, 987106 213351.99999994, 986984 213125.99999994, 987636 212761.99999994, 987770 212685.99999994, 987810 212665.99999994, 988662 212195.99999994, 988528 211953.99999994, 988394 211709.99999995, 988268 211483.99999994, 988144 211259.99999995, 988020 211035.99999994, 987896 210809.99999994, 987770 210583.99999995, 987646 210359.99999994))",10119,,,,,,
2,10001,"10001, 10118","POLYGON ((987646 210359.99999994, 987522 210135.99999994, 987296 210261.99999994, 987334 210529.99999994, 986752 210853.99999994, 986628 210627.99999994, 986502 210403.99999994, 986448 210305.99999995, 985652 210721.99999994, 984916 211137.99999994, 984850 211019.99999994, 984802 211045.99999993, 984928 211275.99999994, 984564 211475.99999994, 984140 211707.99999995, 984014 211481.99999995, 983228 211923.99999994, 983074 212007.99999994, 982442 212359.99999994, 982304 212117.99999994, 982044 212251.99999994, 982016 212267.99999994, 981988 212323.99999994, 981964 212383.99999994, 981948 212445.99999995, 981946 212453.99999995, 981944 212459.99999994, 981936 212507.99999995, 981930 212571.99999994, 981932 212633.99999994, 981946 212741.99999994, 981966 212847.99999994, 981992 212951.99999995, 982020 213057.99999994, 982054 213159.99999995, 982126 213405.99999995, 982198 213667.99999994, 982272 213917.99999995, 982292 213981.99999995, 982316 214041.99999994, 982348 214101.99999994, 982382 214157.99999995, 982664 214675.99999994, 982752 214835.99999994, 982886 215079.99999994, 983152 215557.99999994, 983294 215813.99999995, 983336 215889.99999993, 983430 216071.99999994, 983462 216049.99999993, 984232 215583.99999994, 984212 215547.99999995, 984088 215323.99999995, 983958 215095.99999994, 983834 214871.99999995, 984024 214765.99999994, 984244 214935.99999994, 984400 214849.99999994, 984744 214659.99999994, 984622 214435.99999994, 984886 214287.99999994, 984912 214273.99999994, 984924 214267.99999994, 984934 214261.99999994, 984948 214255.99999994, 985046 214205.99999995, 985070 214191.99999995, 985410 213999.99999994, 986196 213561.99999994, 986320 213787.99999994, 987106 213351.99999994, 986984 213125.99999994, 987636 212761.99999994, 987770 212685.99999994, 987810 212665.99999994, 988662 212195.99999994, 988528 211953.99999994, 988394 211709.99999995, 988268 211483.99999994, 988144 211259.99999995, 988020 211035.99999994, 987896 210809.99999994, 987770 210583.99999995, 987646 210359.99999994))",10199,,,,,,
3,10002,10002,"POLYGON ((985342 197657.99999995, 985336 197687.99999994, 985318 197771.99999994, 985314 197791.99999994, 985302 197849.99999994, 985300 197865.99999994, 985252 197857.99999994, 985246 197889.99999993, 985242 197911.99999994, 985222 198021.99999993, 985158 198375.99999994, 985144 198439.99999994, 985132 198503.99999994, 985126 198535.99999994, 985116 198591.99999994, 985110 198627.99999994, 985096 198703.99999995, 985050 198967.99999995, 984998 199211.99999994, 984946 199411.99999994, 984942 199431.99999994, 985056 199631.99999994, 985136 199783.99999993, 985212 199949.99999994, 985296 200133.99999994, 985318 200165.99999994, 985342 200219.99999995, 985412 200369.99999994, 985518 200599.99999994, 985690 201029.99999994, 985802 201393.99999994, 985884 201647.99999995, 985894 201679.99999994, 985902 201707.99999994, 985908 201729.99999994, 985970 201933.99999994, 986044 202187.99999994, 986090 202349.99999994, 986096 202371.99999995, 986118 202449.99999994, 986164 202619.99999994, 986292 203069.99999994, 986300 203099.99999994, 986320 203091.99999994, 986412 203053.99999994, 986646 202959.99999994, 986668 202949.99999994, 986738 202921.99999995, 986946 202839.99999995, 987190 202747.99999993, 987366 202673.99999994, 987400 202659.99999994, 987426 202649.99999994, 987614 202573.99999994, 987816 202491.99999994, 988052 202409.99999994, 988264 202315.99999994, 988498 202221.99999994, 988734 202127.99999994, 988962 202037.99999994, 989194 201945.99999994, 989432 201849.99999994, 989772 201715.99999994, 989888 201669.99999995, 990140 201567.99999994, 990150 201585.99999994, 990220 201717.99999994, 990248 201769.99999994, 990272 201813.99999993, 990284 201837.99999994, 990492 201717.99999995, 990768 201571.99999994, 990858 201537.99999994, 990984 201471.99999995, 991168 201375.99999994, 991154 201221.99999995, 991154 201185.99999994, 991186 201181.99999995, 991204 201177.99999995, 991220 201175.99999994, 991252 201169.99999994, 991266 201169.99999994, 991278 201171.99999994, 991592 201145.99999994, 991544 200955.99999994, 991492 200763.99999993, 991440 200573.99999995, 991386 200383.99999994, 991328 200195.99999994, 991270 200007.99999994, 991208 199819.99999995, 991144 199633.99999994, 991138 199617.99999994, 991136 199607.99999993, 991128 199589.99999994, 991122 199569.99999994, 991118 199561.99999994, 991112 199543.99999994, 990958 199107.99999995, 990960 199103.99999995, 990912 198965.99999994, 990890 198897.99999994, 990870 198845.99999994, 990858 198831.99999994, 990818 198721.99999994, 990784 198645.99999994, 990764 198603.99999995, 990752 198581.99999994, 990706 198509.99999994, 990676 198465.99999994, 990628 198407.99999994, 990610 198385.99999994, 990564 198337.99999994, 990480 198255.99999995, 990426 198207.99999994, 990398 198183.99999994, 990378 198167.99999994, 990350 198153.99999994, 990328 198143.99999995, 990298 198133.99999994, 990278 198129.99999994, 990246 198127.99999994, 990178 198121.99999994, 990134 198117.99999994, 990020 198107.99999994, 990014 198107.99999994, 989992 198105.99999994, 989784 198087.99999993, 989716 198081.99999994, 989702 198079.99999995, 989704 198053.99999995, 989654 198049.99999994, 989438 198027.99999994, 989450 197885.99999994, 988946 197819.99999994, 988786 197799.99999994, 988548 197769.99999995, 987978 197697.99999994, 987532 197641.99999994, 987528 197637.99999994, 987468 197629.99999995, 987454 197633.99999994, 987444 197641.99999994, 987440 197647.99999993, 987400 197915.99999994, 987398 197917.99999994, 987392 197919.99999994, 987384 197921.99999995, 987378 197929.99999994, 987372 197937.99999994, 987356 197935.99999993, 987328 197931.99999994, 987200 197911.99999995, 987172 197907.99999994, 987140 197901.99999995, 987094 197893.99999994, 986978 197871.99999994, 986880 197851.99999994, 986804 197835.99999995, 986726 197823.99999993, 986648 197809.99999994, 986550 197789.99999995, 986532 197785.99999995, 986494 197775.99999994, 986490 197785.99999995, 986484 197799.99999994, 986474 197819.99999993, 986466 197837.99999993, 986454 197867.99999994, 986464 197869.99999994, 986494 197877.99999994, 986514 197881.99999995, 986530 197885.99999994, 986518 197971.99999994, 986490 198165.99999995, 986474 198279.99999995, 986444 198277.99999994, 986414 198273.99999994, 986352 198253.99999994, 986334 198247.99999994, 986300 198239.99999994, 986266 198231.99999994, 986250 198227.99999994, 985874 198151.99999994, 985886 197979.99999993, 985908 197761.99999994, 985342 197657.99999995))",10002,242.0,60.869565217391305,79.0,95.38461538461539,78.12709030100335,321.0
4,10003,10003,"POLYGON ((987412 202683.99999993, 987400 202659.99999994, 987366 202673.99999994, 987190 202747.99999993, 986946 202839.99999995, 986738 202921.99999995, 986668 202949.99999994, 986646 202959.99999994, 986412 203053.99999994, 986320 203091.99999994, 986300 203099.99999994, 986306 203121.99999994, 986376 203379.99999994, 986408 203497.99999994, 986450 203647.99999993, 986524 203919.99999994, 986506 203931.99999994, 986014 204247.99999994, 986150 204457.99999995, 985842 204655.99999995, 985618 204801.99999994, 985410 204935.99999994, 985200 205071.99999994, 984982 205213.99999994, 984784 205339.99999994, 984706 205391.99999995, 984568 205477.99999994, 984360 205615.99999994, 984498 205827.99999994, 984634 206041.99999994, 985088 205747.99999994, 985182 205911.99999995, 985260 206055.99999994, 985382 206271.99999994, 985500 206487.99999995, 985622 206705.99999994, 985750 206937.99999994, 985880 207169.99999994, 986018 207421.99999994, 986156 207673.99999995, 986286 207905.99999993, 986404 208119.99999995, 986524 208333.99999995, 986640 208545.99999993, 986760 208759.99999994, 987086 208577.99999993, 987626 208275.99999994, 987648 208263.99999994, 987768 208479.99999994, 987790 208467.99999994, 987894 208409.99999995, 988012 208345.99999994, 987898 208127.99999994, 988096 208017.99999994, 988300 207905.99999994, 988412 208123.99999994, 988662 207983.99999994, 988544 207771.99999994, 988716 207677.99999994, 989164 207427.99999994, 989686 207139.99999994, 989826 207055.99999994, 989852 207043.99999994, 989768 206891.99999995, 989736 206833.99999994, 989676 206725.99999994, 989614 206611.99999994, 989546 206487.99999994, 989500 206405.99999994, 989444 206305.99999994, 989378 206189.99999994, 989294 206039.99999995, 989248 205957.99999994, 989150 205781.99999994, 989132 205749.99999994, 989084 205727.99999994, 988942 205473.99999994, 988814 205237.99999994, 988686 205005.99999994, 988564 204785.99999994, 988446 204571.99999995, 988326 204357.99999994, 988202 204133.99999994, 988086 203923.99999995, 987964 203697.99999994, 987842 203483.99999994, 987718 203257.99999994, 987584 203017.99999994, 987540 202933.99999994, 987528 202913.99999994, 987456 202779.99999994, 987412 202683.99999993))",10003,104.0,37.92270531400966,55.0,86.66666666666667,62.29468599033817,159.0
5,10004,10004,"MULTIPOLYGON (((982030 197211.99999995, 981958 197117.99999995, 981652 197443.99999993, 981784 197599.99999993, 982030 197211.99999995)), ((981154 194843.99999995, 981174 194769.99999994, 981166 194767.99999994, 981164 194769.99999994, 981120 194759.99999993, 981142 194685.99999994, 981164 194693.99999994, 981178 194653.99999995, 981182 194637.99999994, 981170 194633.99999994, 981174 194621.99999995, 981174 194615.99999994, 981178 194615.99999994, 981184 194601.99999994, 981184 194597.99999995, 981190 194581.99999995, 981196 194575.99999994, 981192 194571.99999994, 981194 194565.99999994, 981198 194563.99999994, 981202 194557.99999994, 981198 194553.99999994, 981198 194547.99999994, 981202 194549.99999994, 981208 194539.99999994, 981204 194535.99999994, 981212 194513.99999995, 981218 194515.99999993, 981220 194511.99999995, 981220 194507.99999995, 981214 194501.99999994, 981222 194481.99999994, 981226 194483.99999994, 981232 194473.99999994, 981226 194469.99999993, 981260 194389.99999994, 981256 194381.99999994, 981252 194377.99999995, 981242 194391.99999994, 981220 194455.99999994, 981198 194517.99999994, 981188 194553.99999994, 981180 194577.99999995, 981172 194599.99999994, 981162 194621.99999995, 981158 194631.99999994, 981100 194615.99999994, 981116 194541.99999994, 981118 194523.99999994, 981114 194515.99999994, 981108 194511.99999995, 981100 194511.99999995, 981094 194513.99999994, 981090 194519.99999994, 981080 194551.99999994, 981070 194577.99999994, 981060 194601.99999995, 980998 194585.99999994, 981006 194567.99999994, 981010 194557.99999994, 981016 194537.99999994, 981024 194507.99999995, 981030 194485.99999995, 981030 194477.99999994, 981024 194471.99999994, 981012 194473.99999994, 981004 194479.99999994, 980998 194479.99999994, 980992 194497.99999994, 980984 194513.99999994, 980970 194547.99999994, 980968 194555.99999994, 980964 194571.99999994, 980964 194573.99999995, 980924 194561.99999994, 980898 194553.99999994, 980900 194547.99999994, 980904 194523.99999994, 980912 194497.99999994, 980930 194443.99999995, 980950 194387.99999994, 980962 194343.99999994, 980942 194323.99999993, 980934 194319.99999994, 980912 194323.99999994, 980898 194337.99999994, 980888 194357.99999994, 980878 194381.99999994, 980874 194389.99999994, 980856 194421.99999994, 980852 194437.99999994, 980834 194483.99999994, 980822 194515.99999995, 980814 194531.99999994, 980758 194513.99999995, 980758 194491.99999995, 980768 194435.99999994, 980776 194397.99999994, 980780 194371.99999994, 980780 194359.99999994, 980772 194353.99999994, 980752 194345.99999994, 980742 194347.99999994, 980734 194359.99999994, 980718 194385.99999994, 980702 194413.99999994, 980692 194433.99999994, 980682 194453.99999994, 980678 194465.99999994, 980672 194485.99999994, 980670 194495.99999994, 980644 194493.99999994, 980616 194489.99999995, 980614 194477.99999994, 980614 194435.99999994, 980620 194387.99999994, 980624 194343.99999994, 980638 194261.99999994, 980642 194239.99999995, 980640 194229.99999994, 980634 194223.99999995, 980614 194223.99999994, 980606 194233.99999994, 980602 194249.99999994, 980600 194279.99999994, 980596 194311.99999995, 980594 194343.99999994, 980590 194391.99999994, 980588 194405.99999994, 980584 194427.99999994, 980570 194485.99999994, 980510 194479.99999994, 980512 194435.99999994, 980512 194401.99999995, 980506 194369.99999994, 980498 194345.99999995, 980482 194333.99999994, 980476 194335.99999994, 980458 194351.99999994, 980462 194355.99999995, 980468 194363.99999994, 980476 194393.99999994, 980488 194389.99999994, 980490 194413.99999994, 980498 194413.99999994, 980498 194417.99999994, 980490 194417.99999995, 980490 194439.99999994, 980498 194441.99999994, 980498 194443.99999994, 980490 194443.99999995, 980490 194465.99999994, 980500 194465.99999994, 980500 194473.99999994, 980484 194471.99999994, 980484 194487.99999994, 980492 194489.99999995, 980486 194539.99999994, 980504 194541.99999994, 980490 194647.99999994, 980382 194665.99999995, 980342 194505.99999994, 980326 194515.99999994, 980288 194539.99999993, 980278 194545.99999994, 980190 194603.99999993, 980182 194609.99999995, 980144 194633.99999994, 980138 194631.99999994, 980084 194667.99999995, 980052 194611.99999994, 979902 194763.99999994, 979870 194795.99999994, 979872 194867.99999994, 979882 194999.99999995, 979886 195029.99999994, 979862 195067.99999994, 979730 195285.99999994, 979668 195491.99999993, 979638 195665.99999994, 979634 195721.99999994, 979630 195791.99999994, 979620 195993.99999994, 979624 196033.99999994, 979624 196053.99999994, 979604 196053.99999994, 979554 196059.99999994, 979522 196067.99999994, 979480 196077.99999994, 979442 196089.99999994, 979420 196101.99999994, 979378 196135.99999994, 979342 196175.99999994, 979310 196219.99999994, 979286 196267.99999994, 979274 196299.99999994, 979268 196331.99999994, 979264 196363.99999994, 979262 196395.99999994, 979262 196427.99999994, 979262 196459.99999994, 979266 196491.99999994, 979272 196523.99999993, 979278 196555.99999994, 979296 196617.99999993, 979318 196679.99999994, 979346 196739.99999995, 979378 196797.99999994, 979610 196667.99999994, 979696 196665.99999994, 979732 196653.99999995, 979748 196647.99999994, 979774 196641.99999994, 979802 196747.99999994, 979830 196737.99999994, 980062 196659.99999995, 980054 196587.99999994, 980070 196605.99999994, 980070 196581.99999994, 980090 196575.99999994, 980116 196569.99999994, 980146 196559.99999994, 980196 196541.99999994, 980232 196533.99999994, 980254 196575.99999993, 980260 196569.99999994, 980258 196527.99999994, 980276 196577.99999994, 980358 196541.99999994, 980360 196539.99999994, 980576 196443.99999994, 980782 196771.99999994, 980812 196777.99999993, 980958 196691.99999994, 981148 196593.99999994, 981082 196425.99999995, 981048 196109.99999994, 981070 196139.99999994, 981482 196179.99999995, 981746 196239.99999994, 981776 196105.99999994, 981782 196075.99999994, 981628 195955.99999994, 981732 195823.99999994, 981758 195793.99999994, 981882 195651.99999995, 982044 195469.99999995, 982072 195437.99999995, 982080 195429.99999994, 982088 195421.99999995, 982132 195399.99999994, 982142 195395.99999994, 982130 195371.99999994, 982128 195369.99999994, 982126 195365.99999994, 982114 195355.99999995, 982114 195351.99999994, 982042 195295.99999994, 981928 195205.99999994, 981720 195037.99999994, 981710 195033.99999994, 981668 195017.99999994, 981588 194985.99999994, 981404 194923.99999994, 981244 194871.99999994, 981178 194849.99999993, 981154 194843.99999995)))",10004,13.0,16.42512077294686,10.0,31.025641025641026,23.725380899293942,23.0
6,10005,10005,"POLYGON ((982126 195467.99999995, 982080 195429.99999994, 982072 195437.99999995, 982044 195469.99999995, 981882 195651.99999995, 981758 195793.99999994, 981732 195823.99999994, 981628 195955.99999994, 981782 196075.99999994, 981776 196105.99999994, 981746 196239.99999994, 981482 196179.99999995, 981070 196139.99999994, 981048 196109.99999994, 981082 196425.99999995, 981148 196593.99999994, 980958 196691.99999994, 980812 196777.99999993, 980782 196771.99999994, 980938 197019.99999994, 981006 197131.99999994, 981132 197331.99999994, 981196 197435.99999995, 981242 197509.99999993, 981328 197639.99999994, 981572 197495.99999995, 981720 197691.99999994, 981784 197599.99999993, 981724 197529.99999994, 981652 197443.99999993, 981958 197117.99999995, 981854 196979.99999994, 982274 196627.99999994, 982370 196755.99999994, 982580 196543.99999995, 982718 196415.99999994, 982584 196291.99999994, 982810 196107.99999994, 982934 196211.99999993, 982972 196189.99999994, 982984 196181.99999994, 982958 196161.99999994, 982782 196013.99999995, 982534 195803.99999994, 982328 195633.99999994, 982126 195467.99999995))",10005,45.0,22.705314009661837,6.0,21.53846153846154,22.12188777406169,51.0
7,10005,10005,"POLYGON ((982126 195467.99999995, 982080 195429.99999994, 982072 195437.99999995, 982044 195469.99999995, 981882 195651.99999995, 981758 195793.99999994, 981732 195823.99999994, 981628 195955.99999994, 981782 196075.99999994, 981776 196105.99999994, 981746 196239.99999994, 981482 196179.99999995, 981070 196139.99999994, 981048 196109.99999994, 981082 196425.99999995, 981148 196593.99999994, 980958 196691.99999994, 980812 196777.99999993, 980782 196771.99999994, 980938 197019.99999994, 981006 197131.99999994, 981132 197331.99999994, 981196 197435.99999995, 981242 197509.99999993, 981328 197639.99999994, 981572 197495.99999995, 981720 197691.99999994, 981784 197599.99999993, 981724 197529.99999994, 981652 197443.99999993, 981958 197117.99999995, 981854 196979.99999994, 982274 196627.99999994, 982370 196755.99999994, 982580 196543.99999995, 982718 196415.99999994, 982584 196291.99999994, 982810 196107.99999994, 982934 196211.99999993, 982972 196189.99999994, 982984 196181.99999994, 982958 196161.99999994, 982782 196013.99999995, 982534 195803.99999994, 982328 195633.99999994, 982126 195467.99999995))",10271,,,,,,
8,10006,10006,"POLYGON ((980782 196771.99999994, 980576 196443.99999994, 980358 196541.99999994, 980276 196577.99999994, 980258 196527.99999994, 980260 196569.99999994, 980254 196575.99999993, 980232 196533.99999994, 980196 196541.99999994, 980146 196559.99999994, 980116 196569.99999994, 980090 196575.99999994, 980070 196581.99999994, 980070 196605.99999994, 980054 196587.99999994, 980062 196659.99999995, 979830 196737.99999994, 979802 196747.99999994, 979830 196857.99999995, 979840 196889.99999993, 979846 196907.99999994, 979852 196927.99999994, 979856 196945.99999994, 979892 197069.99999994, 979902 197103.99999994, 979912 197131.99999994, 979936 197207.99999994, 979946 197237.99999994, 979996 197401.99999994, 980050 197573.99999995, 980092 197749.99999994, 980112 197845.99999994, 980126 197887.99999994, 980168 198085.99999994, 980176 198119.99999994, 980200 198251.99999994, 980220 198323.99999994, 980252 198495.99999993, 980278 198641.99999994, 980308 198847.99999994, 980406 199281.99999994, 980412 199307.99999995, 980446 199289.99999994, 980622 199189.99999994, 980772 199101.99999994, 980982 198979.99999993, 981012 198961.99999994, 981444 198707.99999993, 981348 198507.99999994, 981256 198319.99999994, 981136 198081.99999995, 981482 197877.99999995, 981328 197639.99999994, 981242 197509.99999993, 981196 197435.99999995, 981132 197331.99999994, 981006 197131.99999994, 980938 197019.99999994, 980782 196771.99999994))",10006,18.0,18.115942028985508,8.0,26.153846153846153,22.13489409141583,26.0
9,10007,10007,"POLYGON ((983150 198611.99999995, 983126 198607.99999994, 983090 198613.99999995, 983070 198613.99999994, 983050 198613.99999995, 983030 198615.99999994, 983012 198621.99999994, 982994 198629.99999994, 982978 198637.99999994, 982962 198649.99999994, 982908 198685.99999994, 982892 198697.99999994, 982874 198709.99999993, 982856 198717.99999993, 982838 198723.99999995, 982814 198729.99999995, 982790 198731.99999994, 982766 198731.99999994, 982742 198729.99999995, 982658 198709.99999994, 982568 198679.99999994, 982550 198657.99999995, 982314 198581.99999994, 982202 198547.99999994, 982180 198519.99999994, 982042 198475.99999994, 981936 198443.99999994, 981866 198455.99999994, 981738 198271.99999994, 981624 198099.99999994, 981604 198067.99999994, 981482 197877.99999995, 981136 198081.99999995, 981256 198319.99999994, 981348 198507.99999994, 981444 198707.99999993, 981012 198961.99999994, 980982 198979.99999993, 980772 199101.99999994, 980622 199189.99999994, 980446 199289.99999994, 980412 199307.99999995, 980484 199583.99999994, 980532 199807.99999994, 980542 199857.99999994, 980572 200015.99999994, 980594 200141.99999994, 980624 200305.99999994, 980684 200563.99999994, 980720 200539.99999994, 980768 200511.99999995, 981026 200353.99999995, 981210 200245.99999995, 981688 199959.99999994, 982050 199743.99999994, 982158 199927.99999993, 982282 200133.99999995, 982400 200327.99999994, 982518 200525.99999994, 982994 200235.99999994, 983410 199983.99999994, 983664 199827.99999993, 983886 199691.99999994, 984044 199591.99999994, 984124 199537.99999994, 983992 199137.99999993, 984002 199057.99999994, 984002 199047.99999994, 983500 198893.99999994, 983388 198777.99999994, 983204 198633.99999995, 983168 198617.99999995, 983150 198611.99999995))",10007,8.0,15.217391304347826,14.0,40.76923076923077,27.993311036789297,22.0
